tid,text,ts,uid,username,user_screen_name,created_at,timezone,user_description,coordinates,city,country,lang
743843885412016128,"#DumaTauCamp en la portada de voguespain
#botswana #luxuryafrica
・・・
Repost: My new July cover… https://t.co/yGKNhMYJNb",1466181176890,383218077,Enkosi Africa,EnkosiAfrica,Fri Jun 17 16:32:56 +0000 2016,Madrid,"Verdaderamente expertos en diseñar safaris de lujo a TU medida. Safaris en pareja o en familia.
#EnkosiEnAfrica","[1.53333, 42.5]",Andorra la Vieja,Andorra,en
743845086220279810,Màgic Bruc #anonymous_hdr #ig_catalonia #ig_catalunya #ig_creativepics #amateur_styles… https://t.co/N0DMZLPGuJ,1466181463185,72269408,miquel dinarès coma,miquel57,Fri Jun 17 16:37:43 +0000 2016,,"He estudiat ....a e
Quasi tot arreu...i,he après ......absorbit ...força","[1.79066375, 42.47458459]",Meranges,España,und
743846975536308224,"Eskerrik asko danagaitik 💕 MEREZI DABENENGAITIK, GUGATIK, GORA KOPAK! 🍻 @ Bellver de Cerdanya https://t.co/5iDFwHYjCM",1466181913633,941510995,✳ ค๓คเค ✳,amaiaaldazabal,Fri Jun 17 16:45:13 +0000 2016,,15. Maite duzun hori esan ziguten zaintzeko. 10 Borrokatuz lortzen omen dira gauzak  ♀,"[1.78333, 42.36667]",Bellver de Cerdanya,España,eu
743850604968161280,Primer dia del JAMBO STREET FESTIVAL #jambo #jambostreetfestival #andorra una vintena de… https://t.co/MHULm338h8,1466182778957,11752512,Seo & Webs Low Cost,marketingonl,Fri Jun 17 16:59:38 +0000 2016,Madrid,"Pep Webs & Seo, #posicionamiento de #webslowcost #wordpress y gestión de redes sociales.  #MarketingOnline #SocialMediaManager #Seo","[1.51667, 42.5]",Andorra la Vieja,Andorra,es
743850792495489024,Primer dia del JAMBO STREET FESTIVAL #jambo #jambostreetfestival #andorra una vintena de… https://t.co/K4TubzqVvU,1466182823667,11752512,Seo & Webs Low Cost,marketingonl,Fri Jun 17 17:00:23 +0000 2016,Madrid,"Pep Webs & Seo, #posicionamiento de #webslowcost #wordpress y gestión de redes sociales.  #MarketingOnline #SocialMediaManager #Seo","[1.51667, 42.5]",Andorra la Vieja,Andorra,es
743851180237983748,Primer dia del JAMBO STREET FESTIVAL #jambo #jambostreetfestival #andorra una vintena de… https://t.co/eECQKn1KTG,1466182916112,11752512,Seo & Webs Low Cost,marketingonl,Fri Jun 17 17:01:56 +0000 2016,Madrid,"Pep Webs & Seo, #posicionamiento de #webslowcost #wordpress y gestión de redes sociales.  #MarketingOnline #SocialMediaManager #Seo","[1.51667, 42.5]",Andorra la Vieja,Andorra,es
743851327499997184,Primer dia del JAMBO STREET FESTIVAL #jambo #jambostreetfestival #andorra una vintena de… https://t.co/y09u50ayt1,1466182951222,11752512,Seo & Webs Low Cost,marketingonl,Fri Jun 17 17:02:31 +0000 2016,Madrid,"Pep Webs & Seo, #posicionamiento de #webslowcost #wordpress y gestión de redes sociales.  #MarketingOnline #SocialMediaManager #Seo","[1.51667, 42.5]",Andorra la Vieja,Andorra,es
743853022296551424,Primer dia del JAMBO STREET FESTIVAL #jambo #jambostreetfestival #andorra una vintena de… https://t.co/4PdXG2Lqpw,1466183355293,11752512,Seo & Webs Low Cost,marketingonl,Fri Jun 17 17:09:15 +0000 2016,Madrid,"Pep Webs & Seo, #posicionamiento de #webslowcost #wordpress y gestión de redes sociales.  #MarketingOnline #SocialMediaManager #Seo","[1.51667, 42.5]",Andorra la Vieja,Andorra,es
743853850805809152,La primera vez que tengo el placer de hacer una caquita en un wc armani. Me siento muy burgués ahora #caquitadelux https://t.co/Y9P7ZWh5v7,1466183552825,98906707,MpaMola1000,MpaMola1000,Fri Jun 17 17:12:32 +0000 2016,Madrid,"Ludopata amateur,cocinero y pastelero. También tengo un canal de youtube,... bueno toco botoncitos, lo grabo, edito y lo subo XD","[2.1969201, 41.3863662]",España,España,es
743864766200971264,"I had liked that rainy day in Berlin looked like this, but no. #latergram #lacleman #clouds… https://t.co/Q0oIfyLBHq",1466186155258,17437465,Jérémie Gerhardt,mrbonsoir,Fri Jun 17 17:55:55 +0000 2016,Berlin,"Computer Vision and Color scientist, Chief Scientist at http://goo.gl/keobpV, blogger for #spottedbylocals #berlin http://goo.gl/CAGBY4","[6.55, 46.43333333]",France,France,en
743866875927531520,Andorra u r so beautiful but u r bloody cold @ 7588ft 🏔🏔🏔 #andatnight #feetaremoreimpresive @… https://t.co/aWi83GgaeT,1466186658256,234019383,kittyjones,yokittyoursofun,Fri Jun 17 18:04:18 +0000 2016,Amsterdam,I am a fresh of breath air. Niall Allen is the greatest person in the whole world and I think that everyone should worship him like I do.,"[1.65040522, 42.57938721]",Canillo,Andorra,en
743870328452059136,TURR,1466187481402,1938816210,Mehmet kurt,memo68kurt_kurt,Fri Jun 17 18:18:01 +0000 2016,,,"[5.26450777, 45.39320875]",France,France,fr
743872652729851904,"¡Echa un vistazo a este check-in épico en @Swarmapp!
https://t.co/ZwAPn6AoZ4 https://t.co/2p9xqtxVVC",1466188035553,3378054405,Paola Jarén,JarenPaola,Fri Jun 17 18:27:15 +0000 2016,,"Marketing Online: Turismo, deportes y belleza.
Guía Turistico.
Facebook El Arte de Viajar.","[1.5262402, 42.5074855]",Andorra la Vieja,Andorra,es
743876748446572544,"➡ Quién ganará ?? ⚽ 
Qué sea un #match #neverusual ⚡
#VamosEspaña",1466189012048,2776084585,SEVEN Sunglasses,Se7enSunglasses,Fri Jun 17 18:43:32 +0000 2016,Madrid,"Gafas de sol polarizadas hechas con madera de bambú. Define tu estilo.
Envío 24/48h
#Sunglasses made ​​of #bamboo wood and #polarized glass
¡Hazte #neverusual!","[-3.6825325, 40.4301909]",España,España,es
743882131919740928,I just finished running 7.51 km in 36m:07s with #Endomondo #endorphins https://t.co/tpdAhoAc9n,1466190295568,253236541,Nico,zarhot80,Fri Jun 17 19:04:55 +0000 2016,Madrid,"Biker, informático, un poco friki y cinéfilo","[1.530123, 42.507378]",Andorra la Vieja,Andorra,en
743883703156367360,I'm at Musser https://t.co/fAvT8fIte3,1466190670180,155524740,Jordi,ent18,Fri Jun 17 19:11:10 +0000 2016,Madrid,"Runner (39'30'' 10K, 1h27' ½ Maratón y 3h10' Maratón) y Ultrarunner (finisher 185km) adicto a las series y al cine. Últimamente viajando por la Grand Line.","[1.66671048, 42.38019315]",Lles de Cerdanya,España,en
743889208507531264,Good evening #Andorra! Sun will set in 30 minutes (local time 21:33) #Sunset #Photo #Photography [17.06.2016],1466191982758,4567387397,PhotoSchedule,PhotoSchedule,Fri Jun 17 19:33:02 +0000 2016,Midway Island,We bring up sunrise and sunset around the world so you can get your camera ready or just enjoy the view. Fixed and Updated 03/2016 :). Developed by @TheOwlkeep,"[1.51667, 42.5]",Andorra la Vella,Andorra,en
743892659513737216,"6 meses, y 20kg después #Dante ya es casi un hombre!! 😍😍😍

#malamute #malamut #malamutes… https://t.co/TzlhcpCsMG",1466192805542,196124037,Miss Kilómetros,MissKilometros,Fri Jun 17 19:46:45 +0000 2016,Madrid,"Nómada de nacimiento
#VWT4
#Snowboard
#Trail
#Paleo
#Yoga
#dogtrainer","[1.5371817, 42.5077431]",Escaldes-Engordany,Andorra,es
743893887530369024,El buen estrés @xolo_5 @ Caldea Inúu https://t.co/3BIUeG0qEL,1466193098324,376839845,Quim Marquès,yuppys17,Fri Jun 17 19:51:38 +0000 2016,Greenland,Tell a story. Change the world.,"[1.53846, 42.5114212]",Escaldes-Engordany,Andorra,es
743897938741563392,Déjà 3-0 pour la Roja !!! À tous ceux qui se demandent si l'Espagne sera au rdv ! La réponse est sur le terrain ce soir... 👌😎 #ESPTUR #EURO,1466194064208,284466513,Clément Meunier,clemmeunier,Fri Jun 17 20:07:44 +0000 2016,,"Journaliste : France TV, BeIN, Eurosport, M6, D8, TV5 Monde, MCS, 30 MdA... & One Man Show le reste du temps ;)","[4.06499708, 48.30158363]",France,France,fr
743903262294827008,"Andorra la Vella #andorralavella #andorra #jambostreetfestival #jambo @ Andorra la Vella, Andorra https://t.co/ctzefbQHoJ",1466195333442,11752512,Seo & Webs Low Cost,marketingonl,Fri Jun 17 20:28:53 +0000 2016,Madrid,"Pep Webs & Seo, #posicionamiento de #webslowcost #wordpress y gestión de redes sociales.  #MarketingOnline #SocialMediaManager #Seo","[1.51667, 42.5]",Andorra la Vieja,Andorra,it
743905516188012545,Hoy he estado en un cumpleaños y no hemos tenido mejor idea que pegarnos unas fotos de Rajoy en la cara https://t.co/3uVTR3TD6V,1466195870812,743204363703836672,Profeta De Makoto,Profeta_Makoto,Fri Jun 17 20:37:50 +0000 2016,,Zoy un profeta de Makoto nuestro dios todopoderoso :V,"[-6.9748569, 38.8775788]",España,España,es
743910812973154304,Laura c celle qui va le + me manquer,1466197133664,1513480429,Ifri,_Amymy,Fri Jun 17 20:58:53 +0000 2016,Athens,J'préfère crever dans l'Dîn et solo. Yemma ❤️ Insta : Amymy_,"[-0.46634051, 45.04718953]",France,France,fr
743920236693438469,Andorra la Vella #andorralavella #andorra #jambostreetfestival #jambo @ Arrosseria Andorra https://t.co/bgGQiMUjAG,1466199380454,11752512,Seo & Webs Low Cost,marketingonl,Fri Jun 17 21:36:20 +0000 2016,Madrid,"Pep Webs & Seo, #posicionamiento de #webslowcost #wordpress y gestión de redes sociales.  #MarketingOnline #SocialMediaManager #Seo","[1.52154973, 42.50725961]",Andorra la Vieja,Andorra,it
743920488200699905,Andorra la Vella #andorralavella #andorra #jambostreetfestival #jambo @ Arrosseria Andorra https://t.co/ahuMEPH7eE,1466199440418,11752512,Seo & Webs Low Cost,marketingonl,Fri Jun 17 21:37:20 +0000 2016,Madrid,"Pep Webs & Seo, #posicionamiento de #webslowcost #wordpress y gestión de redes sociales.  #MarketingOnline #SocialMediaManager #Seo","[1.52154973, 42.50725961]",Andorra la Vieja,Andorra,it
743920621210460164,Andorra la Vella #andorralavella #andorra #jambostreetfestival #jambo @ Arrosseria Andorra https://t.co/mJWvR7SwUf,1466199472130,11752512,Seo & Webs Low Cost,marketingonl,Fri Jun 17 21:37:52 +0000 2016,Madrid,"Pep Webs & Seo, #posicionamiento de #webslowcost #wordpress y gestión de redes sociales.  #MarketingOnline #SocialMediaManager #Seo","[1.52154973, 42.50725961]",Andorra la Vieja,Andorra,it
743930586520293376,Music Andorra Laser Music Andorra la Vella #andorralavella #andorra #jambostreetfestival #jambo… https://t.co/AGQVknAe7x,1466201848045,11752512,Seo & Webs Low Cost,marketingonl,Fri Jun 17 22:17:28 +0000 2016,Madrid,"Pep Webs & Seo, #posicionamiento de #webslowcost #wordpress y gestión de redes sociales.  #MarketingOnline #SocialMediaManager #Seo","[1.52138036, 42.50714053]",Andorra la Vieja,Andorra,es
743930782406828033,#jankatours Music Andorra Laser Music Andorra la Vella #andorralavella #andorra… https://t.co/Ia5Ynkf9Ca,1466201894748,11752512,Seo & Webs Low Cost,marketingonl,Fri Jun 17 22:18:14 +0000 2016,Madrid,"Pep Webs & Seo, #posicionamiento de #webslowcost #wordpress y gestión de redes sociales.  #MarketingOnline #SocialMediaManager #Seo","[1.52138036, 42.50714053]",Andorra la Vieja,Andorra,es
743932293866131456,#cats #happiness #simplelife #andorra #friday #tgif @ Cal Campanetes https://t.co/cmmmtOv4Z2,1466202255108,87017499,Felip Gallardo,Felipe_Gallardo,Fri Jun 17 22:24:15 +0000 2016,Paris,"Expert on Speakers - Founder Speakers America in NY. Organizer and Founder TEDxAndorralaVella & Coworking AND, GEW Andorra - Love Rugby - Speaker's Sherpa","[1.5356085, 42.55411789]",Ordino,Andorra,es
743936403675947008,You could see the sun break through the clouds and light up the land. It was a beautiful sight.… https://t.co/SsMEyqe8P4,1466203234963,244786699,CindyCindy★,VivaLaCindy_1,Fri Jun 17 22:40:34 +0000 2016,Pacific Time (US & Canada),"Business student, chocolate & tea addict, future entrepreneur, social dancer, a curious George... and then some. Rollins College⚓️ Se habla Español.","[6.55, 46.43333333]",France,France,en
tid,text,ts,uid,username,user_screen_name,created_at,timezone,user_description,coordinates,city,country,lang
740396948054790145,Good morning #Andorra! Sun will rise in 30 minutes (local time 06:16) #Sunrise #Photo #Photography [08.06.2016],1465359362983,4567387397,PhotoSchedule,PhotoSchedule,Wed Jun 08 04:16:02 +0000 2016,Midway Island,We bring up sunrise and sunset around the world so you can get your camera ready or just enjoy the view. Fixed and Updated 03/2016 :). Developed by @TheOwlkeep,"[1.51667, 42.5]",Andorra la Vella,Andorra,en
740438682373632000,"Buenos días a todos 😎 !!! 
Formas parte de nuestro #lifestyle ? 
#sunglasses #bamboo #polarized 👓 #FelizMiercoles",1465369313220,2776084585,SEVEN Sunglasses,Se7enSunglasses,Wed Jun 08 07:01:53 +0000 2016,Madrid,"Gafas de sol polarizadas hechas con madera de bambú. Define tu estilo.
Envío 24/48h
#Sunglasses made ​​of #bamboo wood and #polarized glass
¡Hazte #neverusual!","[-8.3607862, 43.315416]",España,España,es
740440855358607360,"New Vlog, new style video, the silent #vlog on my #youtube #channel! 
full edit on link in… https://t.co/06W0s9YUVY",1465369831300,4148728349,Leo Gonzalez Verdier,GoverLeo,Wed Jun 08 07:10:31 +0000 2016,,uno mas al que le gusta compartir sus experiencias de vida a traves de fotos y videos. somos lo que hacemos.,"[1.5, 42.5]",Andorra la Vella,Andorra,en
740442998882873345,"➡ #Lentes #polarizadas  👓
➡ #Protección Total UV400 🌞
➡ Desde 24,90 € 💸 https://t.co/3pRgSRtY5l",1465370342356,2776084585,SEVEN Sunglasses,Se7enSunglasses,Wed Jun 08 07:19:02 +0000 2016,Madrid,"Gafas de sol polarizadas hechas con madera de bambú. Define tu estilo.
Envío 24/48h
#Sunglasses made ​​of #bamboo wood and #polarized glass
¡Hazte #neverusual!","[-8.3608138, 43.3152047]",España,España,es
740469175018262528,"Viendo el nuevo @twitter 😎
Nos adaptamos al #cambio  .. 
Qué os parece a vosotros?",1465376583233,2776084585,SEVEN Sunglasses,Se7enSunglasses,Wed Jun 08 09:03:03 +0000 2016,Madrid,"Gafas de sol polarizadas hechas con madera de bambú. Define tu estilo.
Envío 24/48h
#Sunglasses made ​​of #bamboo wood and #polarized glass
¡Hazte #neverusual!","[-8.3611179, 43.3156031]",España,España,es
740471488084606977,"@FabienneSchmitt ""50 milliards d'€ de dettes, mais c'est rien voyons !😡😨😱"" ""J'imagine le dire aux banques d'@aefonds @influenz..."" Indécent!",1465377134711,977818573,ΛL.BΞAUVAIS-CHIVΛ,albeauvaischiva,Wed Jun 08 09:12:14 +0000 2016,Central Time (US & Canada),"#ALEXANDREBEAUVAISCHIVA • #Business Strategist & #Storyteller. Trends, technology and innovation motivate me. I dream big and never stop pushing.","[0.1593855, 45.6536193]",France,France,fr
740482427383128064,@VeriificaCuenta Queremos verificar la cuenta @twitter,1465379742843,2776084585,SEVEN Sunglasses,Se7enSunglasses,Wed Jun 08 09:55:42 +0000 2016,Madrid,"Gafas de sol polarizadas hechas con madera de bambú. Define tu estilo.
Envío 24/48h
#Sunglasses made ​​of #bamboo wood and #polarized glass
¡Hazte #neverusual!","[-8.3605494, 43.3153449]",España,España,es
740483217308930050,"Ver los océanos con #lentes #polarizadas 😎
👉 https://t.co/SeK6hc7loG 👈 #DiaMundialDeLosOceanos",1465379931176,2776084585,SEVEN Sunglasses,Se7enSunglasses,Wed Jun 08 09:58:51 +0000 2016,Madrid,"Gafas de sol polarizadas hechas con madera de bambú. Define tu estilo.
Envío 24/48h
#Sunglasses made ​​of #bamboo wood and #polarized glass
¡Hazte #neverusual!","[-8.360171, 43.3151614]",España,España,es
740483997730476032,Dijous 9 de juny #nitdecopes Actuacions de Circ davant del Andburgerzero i vi calent per a… https://t.co/l9cLjY8mzJ,1465380117243,571126950,andburger zero,andburgerzero,Wed Jun 08 10:01:57 +0000 2016,Madrid,"Hamburgueseria de vedella 100% andorrana
Cap de Carrer, num 9 Andorra 
Telf 817771 horari de 12-16 i 20-24
Tambe ens podeu trobar a Grandvalira i a Escaldes","[1.52211639, 42.50814185]",Andorra la Vieja,Andorra,und
740495199533694976,"@Hatsuzukii Ordino
Ordino, Andorra
20.6°C | 69.1°F
Humidity: 29%
Clear Sky https://t.co/v9taGJdGbR",1465382787961,3207467247,大空お天気bot2,oozora_otenki,Wed Jun 08 10:46:27 +0000 2016,,GeoNames + Yahoo Weather API + Google/Flickr images + ImageMagick. @akari_oozora,"[1.53319, 42.55623]",Ordino,Andorra,es
740497628459204608,"Perfectos dos días en Andorra con la mejor compañía, la mejor… https://t.co/aqOmpe0NXP",1465383367062,1719816534,-20 LM♥,bradfordlovers,Wed Jun 08 10:56:07 +0000 2016,Athens,"Beyond, the light shines in the darkness","[1.54285, 42.50812]",Escaldes-Engordany,Andorra,es
740500394632183808,no hay asignatura que odie más que tecnología 💣🔫,1465384026569,585786373,PAULA ✨,paularosa_99,Wed Jun 08 11:07:06 +0000 2016,Amsterdam,south  11130,"[-6.1515324, 36.413323]",España,España,es
740506211909566464,@EsperanzAguirre que te parece si las empresas ke no tengan dejeran d epagar impuestos komo la del listo de tu marido???? Seria perfekto no?,1465385413516,904208160,☆★Miguel Hermi★☆,Miguel_hermi,Wed Jun 08 11:30:13 +0000 2016,Athens,28.Reggae Dancehall Roots Hip Hop BreakBeat Drum&Bass Dubstep Techno HardTechno Minimal Schranz TechHouse ElectroHouse EDM. Kinta del 87 dispuesto a joderte.,"[1.5796611, 42.5353559]",Encamp,Andorra,es
740506614705364992,#IncDGT el 11-04-2016 12:47:00 tipo #OBRA (OBRAS EN GENERAL) #BLANCO   en #LLEIDA (MARTINET) vía #LV4036 #PK8_6 AMBOS SENTIDOS,1465385509550,628321504,trafficspain06,trafficspain06,Wed Jun 08 11:31:49 +0000 2016,Athens,Tweet to traffic information in Cataluña,"[1.6860943, 42.3872303]",Lles de Cerdanya,España,es
740519092629712896,#igandorra #elmeupetit_pais #cycling #elmeupetit_pais #descubriendoigers #pictureoftheday… https://t.co/IaRzbiUdaj,1465388484519,221490220,jordi,jordigarcia80,Wed Jun 08 12:21:24 +0000 2016,,,"[1.49985969, 42.63174429]",Ordino,Andorra,und
740519492636282880,😍😍😍😍👅 https://t.co/NoFSzAfSgx,1465388579888,1056272930,valladares,vallaloco,Wed Jun 08 12:22:59 +0000 2016,,insta: @vallaloco,"[-5.6803802, 43.5070941]",España,España,und
740522448139980801,Vistes del cim de Font Blanca @ Pic de Font Blanca https://t.co/fRJyy95ARV,1465389284535,102527308,JOSEP SABATA,josep_sabata,Wed Jun 08 12:34:44 +0000 2016,Madrid,"Disfruto a full de la vida, fer esport, viatjar, fotografiar i sobretot BE HAPPY","[1.53444444, 42.64972222]",Ordino,Andorra,und
740523895086796800,#CasaDelQuart #Andorra #andorralavella  🇦🇩🇦🇩🇦🇩 @ Principado De Andorra https://t.co/yBoqxPNKhC,1465389629514,323786221,Marco Finazzi,9marchino,Wed Jun 08 12:40:29 +0000 2016,,"Marco Finazzi, world travellers","[1.51306878, 42.50315082]",Andorra la Vella,Andorra,pt
740525681524772869,"#Andorra 🇦🇩🇦🇩 @ Andorra la Vella, Andorra https://t.co/hGN30jNzhI",1465390055434,323786221,Marco Finazzi,9marchino,Wed Jun 08 12:47:35 +0000 2016,,"Marco Finazzi, world travellers","[1.51667, 42.5]",Andorra la Vella,Andorra,es
740526666863267840,"Els funcionaris, els empleats públics i els centres d'investigació us donen les gràcies #CUP #nòminescongelades #pressupostos",1465390290357,92968805,Marisol Fuentes,marisolfperez,Wed Jun 08 12:51:30 +0000 2016,Madrid,Periodista. En viu i en directe.,"[1.5478134, 42.5095743]",Escaldes-Engordany,Andorra,und
740533326298112000,Reminder to go for a walk this week and breathe in a little deeper. @ Lake Geneva https://t.co/mh6PjUWwmw,1465391878090,354156920,aleesha,unknownallycat,Wed Jun 08 13:17:58 +0000 2016,Beijing,Mental Health Advocate.,"[6.55, 46.43333333]",France,France,en
